Dunnock,Prunella,modularis
Common sandpiper,Actitis,hypoleucos
Turnstone,Arenaria,interpres
Sanderling,Calidris,alba
Purple sandpiper,Calidris,maritima
Bar-tailed godwit,Limosa,lapponica
Black-tailed godwit,Limosa,limosa
Greenshank,Tringa,nebularia
Arctic skua,Stercorarius,parasiticus
Great skua,Stercorarius,skua
Ring ouzel,Turdus,torquatus
Crested tit,Lophophanes,cristatus
Willow tit,Poecile,montanus
Marsh tit,Poecile,palustris
Cetti's warbler,Cettia,cetti
Grasshopper warbler,Locustella,naevia
Wood warbler,Phylloscopus,sibilatrix
Dartford warbler,Sylvia,undata
Waxwing,Bombycilla,garrulus
Lesser spotted woodpecker,Dendrocopos,minor
Green woodpecker,Picus,viridis
Little auk,Alle,alle
Lapland bunting,Calcarius,lapponicus
Bluethroat,Luscinia,svecica
Black redstart,Phoenicurus,ochruros
Crane,Grus,grus
Black-throated diver,Gavia,arctica
Garganey,Anas,querquedula
Snow goose,Anser,caerulescens
Taiga bean goose,Anser,fabalis
Tundra bean goose,Anser,serrirostris
Smew,Mergus,albellus
Red-crested pochard,Netta,rufina
Ruddy duck,Oxyura,jamaicensis
Common redpoll,Acanthis,flammea
Common rosefinch,Carpodacus,erythrinus
Parrot crossbill,Loxia,pytyopsittacus
Serin,Serinus,serinus
Slavonian grebe,Podiceps,auritus
Red-necked grebe,Podiceps,grisegena
Black-necked grebe,Podiceps,nigricollis
Capercaillie,Tetrao,urogallus
Black tern,Chlidonias,niger
Little gull,Hydrocoloeus,minutus
Iceland gull,Larus,glaucoides
Glaucous gull,Larus,hyperboreus
Yellow-legged gull,Larus,michahellis
Roseate tern,Sterna,dougallii
Great white egret,Ardea,alba
Bittern,Botaurus,stellaris
Cattle egret,Bubulcus,ibis
Spoonbill,Platalea,leucorodia
Hoopoe,Upupa,epops
Rough-legged buzzard,Buteo,lagopus
Montagu's harrier,Circus,pygargus
White-tailed eagle,Haliaeetus,albicilla
Honey buzzard,Pernis,apivorus
Shore lark,Eremophila,alpestris
Golden oriole,Oriolus,oriolus
Osprey,Pandion,haliaetus
Great shearwater,Puffinus,gravis
Sooty shearwater,Puffinus,griseus
Balearic shearwater,Puffinus,mauretanicus
Golden pheasant,Chrysolophus,pictus
Quail,Coturnix,coturnix
Water pipit,Anthus,spinoletta
Dotterel,Charadrius,morinellus
Spotted crake,Porzana,porzana
Curlew sandpiper,Calidris,ferruginea
Pectoral sandpiper,Calidris,melanotos
Little stint,Calidris,minuta
Temminck's stint,Calidris,temminckii
Whimbrel,Numenius,phaeopus
Grey phalarope,Phalaropus,fulicarius
Red-necked phalarope,Phalaropus,lobatus
Ruff,Philomachus,pugnax
Spotted redshank,Tringa,erythropus
Wood sandpiper,Tringa,glareola
Green sandpiper,Tringa,ochropus
Red-backed shrike,Lanius,collurio
Great grey shrike,Lanius,excubitor
Long-tailed skua,Stercorarius,longicaudus
Pomarine skua,Stercorarius,pomarinus
Stone-curlew,Burhinus,oedicnemus
Short-toed treecreeper,Certhia,brachydactyla
Aquatic warbler,Acrocephalus,paludicola
Marsh warbler,Acrocephalus,palustris
Savi's warbler,Locustella,luscinioides
Yellow-browed warbler,Phylloscopus,inornatus
Wryneck,Jynx,torquilla
